title,start,end,location,date,published
Meeting with Council President Bruce Kraus and Executive Team,15:00:00,16:00:00,"Mayor's Office, 5th Floor City-County Building, 414 Grant St., Pittsburgh, PA 15219",1/31/2014,1/31/2014
Meeting with Rep. Ed Gainey,16:00:00,17:00:00,"Mayor's Office, 5th Floor City-County Building, 414 Grant St., Pittsburgh, PA 15219",1/31/2014,1/31/2014
Chinese New Year office party,17:00:00,18:00:00,"Mayor's Office, 5th Floor City-County Building, 414 Grant St., Pittsburgh, PA 15219",1/31/2014,1/31/2014
Call-in Interview with KQV,9:30:00,9:40:00,"Mayor's Office, 414 Grant St., Pittsburgh, Pa.",2/3/2014,2/3/2014
Mayor/Council standing weekly meeting,10:00:00,11:00:00,"Mayor's Office, 414 Grant St., Pittsburgh, Pa.",2/3/2014,2/3/2014
Meeting with PA Department of Environmental Protection,11:00:00,11:30:00,"Mayor's Office, 414 Grant St., Pittsburgh, Pa.",2/3/2014,2/3/2014
Meeting with Oxford Development,13:00:00,13:45:00,"Mayor's Office, 414 Grant St., Pittsburgh, Pa.",2/3/2014,2/3/2014
Meeting with Ralph Falbo,14:00:00,15:00:00,"Mayor's Office, 414 Grant St., Pittsburgh, Pa.",2/3/2014,2/3/2014
"Speaking at Opening Reception of Citiparks Black History Month Program, \Beyond the Funny Pages\"" exhibition""",18:00:00,18:30:00,"City-County Building Lobby, 414 Grant St., Pittsburgh, PA",2/3/2014,2/3/2014
Press conference: Top 5 locations for Wholey's smiling fish sign,10:30:00,11:30:00,"Wholey's, 1711 Penn Ave., Pittsburgh, Pa. 15222",2/1/2014,2/3/2014
Allegheny County Boroughs Association annual dinner and reception,19:00:00,20:00:00,"River's Casino Ballroom, 777 Casino Drive, Pittsburgh, PA 15212",2/1/2014,2/3/2014
"Night at the Races, Teamsters Temple",20:00:00,21:00:00,"4701 Butler St., Pittsburgh, PA 15201",2/1/2014,2/3/2014
Memorial for Wendell Freeman,13:00:00,14:00:00,"Carnegie Music Hall, 4400 Forbes Ave., Pittsburgh, PA 15213",2/2/2014,2/3/2014
Travel to Harrisburg with County Executive Rich Fitzgerald,6:00:00,10:00:00,"Harrisburg, PA 17120",2/4/2014,2/4/2014
Governor's Budget Address,11:00:00,12:00:00,"Main Capitol Room 238, N 3rd St., Harrisburg, Pa 17120",2/4/2014,2/4/2014
Travel from Harrisburg for Pittsburgh,13:00:00,17:00:00,"Pittsburgh, Pa 15222",2/4/2014,2/4/2014
Pirates Diversity Networking Reception,19:00:00,20:00:00,"PNC Park Rivertowne Brewing Hall of Fame Club, 115 Federal St.",2/4/2014,2/4/2014
Quarterly meeting with County Executive Rich Fitzgerald and Foundation Communtiy,8:30:00,9:30:00,"Centre City Tower, 650 Smithfield Street, Pittsburgh, PA 15222",2/5/2014,2/5/2014
Working in office,9:30:00,13:00:00,"Office of the Mayor, 414 Grant Street, Pittsburgh, PA 15219",2/5/2014,2/5/2014
Bus Rapid Transit (BRT) Route Tour with County Executive Rich Fitzgerald,13:00:00,14:30:00,,2/5/2014,2/5/2014
Flight to DC,16:51:00,17:59:00,,2/5/2014,2/5/2014
"Meeting with NLC Executive Directors, Cliff Johnson, Clarence Anthony, and Audrey Hutchinson ",20:00:00,21:30:00,"Location: Central Michel Richard, 1001 Pennsylvania Avenue NW, Washington, DC 20004",2/5/2014,2/5/2014
Speaking at event with Center for American Progress,12:00:00,13:15:00,"Center for American Progress, 1333 H Street, Washington, DC 20005",2/6/2014,2/6/2014
Flight to Pittsburgh,14:59:00,16:08:00,,2/6/2014,2/6/2014
PRIVATE EVENT- Presentation for K9 Officer Rocco,18:00:00,18:30:00,"Mayor's Conference room, 414 Grant Street, Pittsburgh, PA 15219",2/6/2014,2/6/2014
Vacation,0:00:01,23:59:59,,2/7/2014,2/7/2014
Vacation,0:00:01,23:59:59,,2/8/2014,2/7/2014
Vacation,0:00:01,23:59:59,,2/9/2014,2/7/2014
Vacation,0:00:01,23:59:59,,2/10/2014,2/7/2014
Vacation,0:00:01,23:59:59,,2/11/2014,2/7/2014
Return from vacation,0:00:01,23:59:59,,2/12/2014,2/12/2014
"Meeting with former Mayor Graham Richard from Fort Wayne, IN and ExecutiveTeam",9:00:00,10:30:00,"Mayor's Conference Room, 414 Grant Street, Pittsburgh, PA 15219",2/13/2014,2/13/2014
Dave Bindewald shooting welcome video for annual Jubilee Conference,10:30:00,10:45:00,"Mayor's Conference Room, 414 Grant Street, Pittsburgh, PA 15219",2/13/2014,2/13/2014
Meeting with Pittsburgh United Coalition,11:00:00,12:00:00,"Mayor's Conference Room, 414 Grant Street, Pittsburgh, PA 15219",2/13/2014,2/13/2014
Comprehensive Municipal Pension Trust Fund board meeting,13:00:00,15:00:00,"Mayor's Conference Room, 414 Grant Street, Pittsburgh, PA 15219",2/13/2014,2/13/2014
Working in office,15:00:00,16:30:00,"Mayor's office, 414 Grant Street, Pittsburgh, PA 15219",2/13/2014,2/13/2014
United Way CEO Reception,16:30:00,17:30:00,"Duquesne Club, 325 Sixth Avenue, Pittsburgh, PA 15222",2/13/2014,2/13/2014
Participating in Ribbon Cutting Ceremony with Mario and Nathalie Lemieux at Pittsburgh Automobile Dealers Annual Charity Gala,17:45:00,19:30:00,"David Lawrence Convention Center, 1000 Fort Duquesne Blvd, Pittsburgh, PA 15222",2/13/2014,2/13/2014
Allegheny Elks #339 Initiation Ceremony,20:00:00,21:30:00,"Allegheny Lodge 339, 400 Cedar Avenue, Pittsburgh, PA 15212",2/13/2014,2/13/2014
Call into KDKA Marty Griffin Show in support of 6th Annual Warmathon event to benefit Dollar Energy Fund,9:30:00,9:40:00,,2/14/2014,2/14/2014
Pittsburgh Police Recruit Graduation Ceremony- administering Ceremonial Oath of Office and giving brief remarks ,10:00:00,11:00:00,"Pittsburgh Theological Seminary, 616 N Highland Ave, Pittsburgh, PA 15206",2/14/2014,2/14/2014
Working in office,11:00:00,13:00:00,"414 Grant Street, Pittsburgh, PA 15219",2/14/2014,2/14/2014
"Presenting proclamation for Red, White and Blue Day to Pittsburgh Langley K-8 School",13:00:00,13:30:00,"Pittsburgh Langley K-8 School, 2940 Sheraden Blvd, Pittsburgh, PA 15204",2/14/2014,2/14/2014
Working in office,14:00:00,16:00:00,"414 Grant Street, Pittsburgh, PA 15219",2/14/2014,2/14/2014
Reception to meet Penn State Provost Nicholas Jones,16:00:00,17:30:00,"Allegheny Conference, 11 Stanwix Street, Pittsburgh, PA 15222",2/14/2014,2/14/2014
